RFC,REPSE,RAZON SOCIAL,FECHA,CONCEPTO,DOCUMENTO,ESTATUS
IRS091009H37,AR4969/2021,ICP RANGER SWAT MEXICO SA DE CV,15/07/2021,AVISO DE REGISTRO ,01.-Folio REPSE-20220509T135536145Z-9737.pdf,True
GCP150413GFA,AR6786/2021,GRUPO  CC.  PYJ  SA  DE  CV,20/07/2021,AVISO DE REGISTRO ,12 REGISTRO PRESTADORAS DE SERVICIOS-20211201T191503765Z-9483.pdf,True
AAU070531BI4,AR19426/2021,ALD  AUTOMOTIVE  SA  DE  CV,18/08/2021,AVISO DE REGISTRO ,Aviso de Registro ALD AUTOMOTIVE-20211130T143222169Z-1362.pdf,True
SOS1907229HA,AR12830/2021,SI  OCEAN  SERVICE  S  DE  RL  DE  CV,06/08/2021,AVISO DE REGISTRO ,AVISO DE REGISTRO REPSE SI OCEAN SERVICE-20211130T111611216Z-8788.pdf,True
SSE150130TC2,AR901/2021,SERVICIOS SERKA SA DE CV,22/07/2021,AVISO DE REGISTRO ,AVISO DE REGISTRO-20211130T170737918Z-3364.pdf,True
IFS760816V16,AR7341/2021,ISS  FACILITY  SERVICES  SA  DE  CV,22/07/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro (1)-20220316T160239754Z-5259.pdf,True
CMG100125KW1,AR12839/2021,COLLECTION MANAGEMENT GROUP SC,06/08/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro REPSE CMG-20211126T150623245Z-1189.pdf,True
SSH090603CW0,AR13994/2021,SOHIN SOLUCIONES HOSPITALARIAS INTEGRALES S A P I DE CV,09/08/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro REPSE-20211201T183246498Z-5049.pdf,True
MAR11091479A,AR20496/2021,MAGAR ADMINISTRACION DE RIESGOS SA DE CV,19/08/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-1-20220303T090735533Z-9155.pdf,True
PIF140228392,AR14731/2021,PROYECTOS INTEGRALES FGTN S DE RL DE CV,10/08/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211126T144536617Z-3630.pdf,True
CPI950930P13,AR13561/2021,CAYRO PROVEEDORES INDUSTRIALES SA DE CV,06/08/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211126T151336014Z-3747.pdf,True
TCA030725H60,AR28952/2021,TO  CASH  ASOCIADOS  SA  DE  CV,03/09/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211126T173216773Z-6480.pdf,True
SIG020411EGA,AR18221/2021,SIGNUFARMA   SA   DE   CV,16/08/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211129T155856506Z-9521.pdf,True
MCO880509KU1,AR7008/2021,MERCURIO COMUNICACION SA DE CV,21/07/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211130T172341390Z-9447.pdf,True
WIZ090930E93,AR6768/2021,WIZLYNX  S  DE  RL  DE  CV,20/07/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211130T232745697Z-3387.pdf,True
ALQ900316BB2,AR7996/2021,ALQUIMAVI SA DE CV,23/07/2021,AVISO DE REGISTRO ,FORMATO 17 Aviso de Registro-20211221T105304232Z-1598.pdf,True
NSA990325BB9,AR1039/2021,ABSOLUTE BROKERAGE CUSTOMS SC,23/07/2021,AVISO DE REGISTRO ,FORMATO 20 AVISO DE REGISTRO LEYENDA INFONAVIT (3)-20220304T203856566Z-1488.pdf,True
SPM190404147,AR10386/2021,SOLUCIONES  PRACTICAS  DE  MEJORA CONSULTORIA E INGENIERIA SAS DE CV,15/09/2021,AVISO DE REGISTRO ,REPSE CONSULTORIA MCI-20220401T191207990Z-3617.pdf,True
GCO090327V16,AR6152/2021,GRUPO  CONSULMED  SA  DE  CV,19/07/2021,AVISO DE REGISTRO ,REPSE Grupo Consulmed-20220303T091703111Z-4931.pdf,True
XPE181009PGA,AR996/2021,XPERBIT  SA  DE  CV,24/06/2021,AVISO DE REGISTRO ,REPSE-20211129T140909268Z-3726.pdf,True
SBS070221M92,AR33917/2021,SDLC  BUSINESS  SOLUTIONS  S  DE  RL  DE  CV,09/09/2021,AVISO DE REGISTRO ,SDLC-REPSE--FORMATO 17 Aviso de Registro-20220331T162230451Z-1340.pdf,True
